asset,milestone_year,peak_demand,initial_storage_level,storage_inflows,investable,max_energy_timeframe_partition,min_energy_timeframe_partition,units_on_cost
AT_Battery,2050,0.0,,0.0,false,,,
AT_E_Demand,2050,18.77578042,,0.0,false,,,
AT_E_ENS,2050,0.0,,0.0,false,,,
AT_Gas,2050,0.0,,0.0,false,,,
AT_H_Demand,2050,5.730593607,,0.0,false,,,
AT_Hydro,2050,0.0,,0.0,false,,,
AT_Hydro_Reservoir,2050,0.0,378.5,2.489,false,,,
AT_Pump_Hydro_Closed,2050,0.0,0.9,0.3,false,,,
AT_Pump_Hydro_Open,2050,0.0,866.3,5.793,false,,,
AT_Solar,2050,0.0,,0.0,false,,,
AT_Wind_Onshore,2050,0.0,,0.0,false,,,
AT_electrolyzer,2050,0.0,,0.0,false,,,
BE_Battery,2050,0.0,,0.0,false,,,
BE_E_Demand,2050,26.32290865,,0.0,false,,,
BE_E_ENS,2050,0.0,,0.0,false,,,
BE_Gas,2050,0.0,,0.0,false,,,
BE_H_Demand,2050,11.11872146,,0.0,false,,,
BE_Hydro,2050,0.0,,0.0,false,,,
BE_OCGT,2050,0.0,,0.0,false,,,
BE_Solar,2050,0.0,,0.0,false,,,
BE_Wind_Offshore,2050,0.0,,0.0,false,,,
BE_Wind_Onshore,2050,0.0,,0.0,false,,,
BE_electrolyzer,2050,0.0,,0.0,false,,,
BG_Battery,2050,0.0,,0.0,false,,,
BG_Coal,2050,0.0,,0.0,false,,,
BG_E_Demand,2050,7.401237471,,0.0,false,,,
BG_E_ENS,2050,0.0,,0.0,false,,,
BG_Gas,2050,0.0,,0.0,false,,,
BG_H_Demand,2050,1.51826484,,0.0,false,,,
BG_Hydro,2050,0.0,,0.0,false,,,
BG_Hydro_Reservoir,2050,0.0,421.5,1.281,false,,,
BG_Nuclear,2050,0.0,,0.0,false,,,
BG_OCGT,2050,0.0,,0.0,false,,,
BG_Pump_Hydro_Closed,2050,0.0,4.7,0.864,false,,,
BG_Pump_Hydro_Open,2050,0.0,127.65,0.535,false,,,
BG_Solar,2050,0.0,,0.0,false,,,
BG_Wind_Onshore,2050,0.0,,0.0,false,,,
BG_electrolyzer,2050,0.0,,0.0,false,,,
CH_Battery,2050,0.0,,0.0,false,,,
CH_E_Demand,2050,12.73508856,,0.0,false,,,
CH_E_ENS,2050,0.0,,0.0,false,,,
CH_H_Demand,2050,3.820526568,,0.0,false,,,
CH_Hydro,2050,0.0,,0.0,false,,,
CH_Nuclear,2050,0.0,,0.0,false,,,
CH_Pump_Hydro_Closed,2050,0.0,35.0,2.17,false,,,
CH_Pump_Hydro_Open,2050,0.0,5280.0,10.732,false,,,
CH_Solar,2050,0.0,,0.0,false,,,
CH_Wind_Onshore,2050,0.0,,0.0,false,,,
CH_electrolyzer,2050,0.0,,0.0,false,,,
CY_Battery,2050,0.0,,0.0,false,,,
CY_E_Demand,2050,1.563589525,,0.0,false,,,
CY_E_ENS,2050,0.0,,0.0,false,,,
CY_Gas,2050,0.0,,0.0,false,,,
CY_H_Demand,2050,0.285388128,,0.0,false,,,
CY_Solar,2050,0.0,,0.0,false,,,
CY_Wind_Onshore,2050,0.0,,0.0,false,,,
CY_electrolyzer,2050,0.0,,0.0,false,,,
CZ_Battery,2050,0.0,,0.0,false,,,
CZ_Coal,2050,0.0,,0.0,false,,,
CZ_E_Demand,2050,13.12773612,,0.0,false,,,
CZ_E_ENS,2050,0.0,,0.0,false,,,
CZ_Gas,2050,0.0,,0.0,false,,,
CZ_H_Demand,2050,4.703196347,,0.0,false,,,
CZ_Hydro,2050,0.0,,0.0,false,,,
CZ_Hydro_Reservoir,2050,0.0,1.25,0.698,false,,,
CZ_Nuclear,2050,0.0,,0.0,false,,,
CZ_Pump_Hydro_Closed,2050,0.0,1.85,0.688,false,,,
CZ_Pump_Hydro_Open,2050,0.0,1.15,0.47,false,,,
CZ_Solar,2050,0.0,,0.0,false,,,
CZ_Wind_Onshore,2050,0.0,,0.0,false,,,
CZ_electrolyzer,2050,0.0,,0.0,false,,,
DE_Battery,2050,0.0,,0.0,false,,,
DE_Coal,2050,0.0,,0.0,false,,,
