asset,year,partition,rep_period,specification
GR_Pump_Hydro_Closed,2050,24,1,uniform
GR_Pump_Hydro_Open,2050,24,1,uniform
GR_Solar,2050,4,1,uniform
GR_Wind_Offshore,2050,4,1,uniform
GR_Wind_Onshore,2050,4,1,uniform
GR_electrolyzer,2050,4,1,uniform
HR_Battery,2050,4,1,uniform
HR_Coal,2050,4,1,uniform
HR_E_Demand,2050,4,1,uniform
HR_E_ENS,2050,4,1,uniform
HR_Gas,2050,4,1,uniform
HR_H_Demand,2050,4,1,uniform
HR_Hydro,2050,4,1,uniform
HR_Hydro_Reservoir,2050,24,1,uniform
HR_Pump_Hydro_Open,2050,24,1,uniform
HR_Solar,2050,4,1,uniform
HR_Wind_Offshore,2050,4,1,uniform
HR_Wind_Onshore,2050,4,1,uniform
HR_electrolyzer,2050,4,1,uniform
HU_Battery,2050,4,1,uniform
HU_E_Demand,2050,4,1,uniform
HU_E_ENS,2050,4,1,uniform
HU_Gas,2050,4,1,uniform
HU_H_Demand,2050,4,1,uniform
HU_Hydro,2050,4,1,uniform
HU_Nuclear,2050,4,1,uniform
HU_OCGT,2050,4,1,uniform
HU_Solar,2050,4,1,uniform
HU_Wind_Onshore,2050,4,1,uniform
HU_electrolyzer,2050,4,1,uniform
IE_Battery,2050,2,1,uniform
IE_E_Demand,2050,2,1,uniform
IE_E_ENS,2050,2,1,uniform
IE_Gas,2050,2,1,uniform
IE_H_Demand,2050,2,1,uniform
IE_Hydro,2050,2,1,uniform
IE_OCGT,2050,2,1,uniform
IE_Pump_Hydro_Closed,2050,24,1,uniform
IE_Solar,2050,2,1,uniform
IE_Wind_Offshore,2050,2,1,uniform
IE_Wind_Onshore,2050,2,1,uniform
IE_electrolyzer,2050,2,1,uniform
IT_Battery,2050,4,1,uniform
IT_E_Demand,2050,4,1,uniform
IT_E_ENS,2050,4,1,uniform
IT_Gas,2050,4,1,uniform
IT_H_Demand,2050,4,1,uniform
IT_Hydro,2050,4,1,uniform
IT_Hydro_Reservoir,2050,24,1,uniform
IT_OCGT,2050,4,1,uniform
IT_Pump_Hydro_Closed,2050,24,1,uniform
IT_Pump_Hydro_Open,2050,24,1,uniform
IT_Solar,2050,4,1,uniform
IT_Wind_Offshore,2050,4,1,uniform
IT_Wind_Onshore,2050,4,1,uniform
IT_electrolyzer,2050,4,1,uniform
LT_Battery,2050,4,1,uniform
LT_E_Demand,2050,4,1,uniform
LT_E_ENS,2050,4,1,uniform
LT_Gas,2050,4,1,uniform
LT_H_Demand,2050,4,1,uniform
LT_Hydro,2050,4,1,uniform
LT_Pump_Hydro_Closed,2050,24,1,uniform
LT_Solar,2050,4,1,uniform
LT_Wind_Offshore,2050,4,1,uniform
LT_Wind_Onshore,2050,4,1,uniform
LT_electrolyzer,2050,4,1,uniform
LU_E_Demand,2050,4,1,uniform
LU_E_ENS,2050,4,1,uniform
LU_H_Demand,2050,4,1,uniform
LU_Hydro,2050,4,1,uniform
LU_Pump_Hydro_Closed,2050,24,1,uniform
LU_Solar,2050,4,1,uniform
LU_Wind_Onshore,2050,4,1,uniform
LU_electrolyzer,2050,4,1,uniform
LV_Battery,2050,4,1,uniform
LV_E_Demand,2050,4,1,uniform
LV_E_ENS,2050,4,1,uniform
LV_Gas,2050,4,1,uniform
LV_H_Demand,2050,4,1,uniform
LV_Hydro,2050,4,1,uniform
LV_Solar,2050,4,1,uniform
LV_Wind_Offshore,2050,4,1,uniform
LV_Wind_Onshore,2050,4,1,uniform
LV_electrolyzer,2050,4,1,uniform
MT_E_Demand,2050,4,1,uniform
MT_E_ENS,2050,4,1,uniform
MT_Gas,2050,4,1,uniform
MT_H_Demand,2050,4,1,uniform
MT_Solar,2050,4,1,uniform
MT_electrolyzer,2050,4,1,uniform
NL_Battery,2050,1,1,uniform
NL_E_Demand,2050,1,1,uniform
NL_E_ENS,2050,1,1,uniform
NL_Gas,2050,1,1,uniform
NL_H_Demand,2050,1,1,uniform
NL_OCGT,2050,2,1,uniform
NL_Solar,2050,1,1,uniform
NL_Wind_Offshore,2050,1,1,uniform
NL_Wind_Onshore,2050,1,1,uniform
NL_electrolyzer,2050,1,1,uniform
NO_E_Demand,2050,1,1,uniform
NO_E_ENS,2050,1,1,uniform
NO_H_Demand,2050,1,1,uniform
NO_Hydro_Reservoir,2050,24,1,uniform
NO_Pump_Hydro_Open,2050,24,1,uniform
NO_Solar,2050,1,1,uniform
NO_Wind_Offshore,2050,1,1,uniform
NO_Wind_Onshore,2050,1,1,uniform
NO_electrolyzer,2050,1,1,uniform
OBZLL_E_Demand,2050,1,1,uniform
OBZLL_H_Demand,2050,1,1,uniform
OBZLL_Wind_Offshore,2050,1,1,uniform
OBZLL_electrolyzer,2050,1,1,uniform
PL_Coal,2050,3,1,uniform
PL_E_Demand,2050,3,1,uniform
PL_E_ENS,2050,3,1,uniform
PL_Gas,2050,3,1,uniform
PL_H_Demand,2050,4,1,uniform
PL_Hydro,2050,3,1,uniform
PL_Hydro_Reservoir,2050,24,1,uniform
PL_Pump_Hydro_Closed,2050,24,1,uniform
PL_Pump_Hydro_Open,2050,24,1,uniform
PL_Solar,2050,3,1,uniform
PL_Wind_Offshore,2050,3,1,uniform
PL_Wind_Onshore,2050,3,1,uniform
PL_electrolyzer,2050,3,1,uniform
PT_Battery,2050,4,1,uniform
PT_E_Demand,2050,4,1,uniform
PT_E_ENS,2050,4,1,uniform
PT_Gas,2050,4,1,uniform
PT_H_Demand,2050,4,1,uniform
PT_Hydro,2050,4,1,uniform
PT_Hydro_Reservoir,2050,24,1,uniform
PT_Pump_Hydro_Open,2050,24,1,uniform
PT_Solar,2050,4,1,uniform
PT_Wind_Offshore,2050,4,1,uniform
PT_Wind_Onshore,2050,4,1,uniform
PT_electrolyzer,2050,4,1,uniform
RO_Battery,2050,4,1,uniform
RO_Coal,2050,4,1,uniform
RO_E_Demand,2050,4,1,uniform
RO_E_ENS,2050,4,1,uniform
RO_Gas,2050,4,1,uniform
RO_H_Demand,2050,4,1,uniform
RO_Hydro,2050,4,1,uniform
RO_Hydro_Reservoir,2050,24,1,uniform
RO_Nuclear,2050,4,1,uniform
RO_OCGT,2050,4,1,uniform
RO_Pump_Hydro_Open,2050,24,1,uniform
RO_Solar,2050,4,1,uniform
RO_Wind_Offshore,2050,4,1,uniform
RO_Wind_Onshore,2050,4,1,uniform
RO_electrolyzer,2050,4,1,uniform
SE_Battery,2050,4,1,uniform
SE_E_Demand,2050,4,1,uniform
SE_E_ENS,2050,4,1,uniform
SE_Gas,2050,4,1,uniform
SE_H_Demand,2050,4,1,uniform
